Rule   (Support, Confidence) 
Gene YGL117W high -> Gene YBR047W high  (18%, 80.597%)
Gene YKL218C high -> Gene YMR095C high  (18%, 91.5254%)
Gene YJR025C high -> Gene YMR095C high  (18%, 90%)
Gene YBR147W high -> Gene YMR096W high  (18%, 93.1034%)
Gene YGL117W high -> Gene YER175C high,Gene YMR095C high  (18%, 80.597%)
Gene YGL117W high,Gene YER175C high -> Gene YMR095C high  (18%, 93.1034%)
Gene YGL117W high,Gene YMR095C high -> Gene YER175C high  (18%, 90%)
Gene YER175C high,Gene YMR095C high -> Gene YGL117W high  (18%, 80.597%)
Gene YGL117W high -> Gene YJR109C high,Gene YMR096W high  (18%, 80.597%)
Gene YJR109C high -> Gene YGL117W high,Gene YMR096W high  (18%, 84.375%)
Gene YGL117W high,Gene YJR109C high -> Gene YMR096W high  (18%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YJR109C high  (18%, 81.8182%)
Gene YJR109C high,Gene YMR096W high -> Gene YGL117W high  (18%, 88.5246%)
Gene YGL117W high -> Gene YBR047W high,Gene YMR096W high  (18%, 80.597%)
Gene YGL117W high,Gene YBR047W high -> Gene YMR096W high  (18%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YBR047W high  (18%, 81.8182%)
Gene YBR047W high,Gene YMR096W high -> Gene YGL117W high  (18%, 83.0769%)
Gene YKL218C high -> Gene YMR095C high,Gene YMR096W high  (18%, 91.5254%)
Gene YKL218C high,Gene YMR095C high -> Gene YMR096W high  (18%, 100%)
Gene YKL218C high,Gene YMR096W high -> Gene YMR095C high  (18%, 96.4286%)
Gene YHR029C high -> Gene YGL117W high  (17.6667%, 89.8305%)
Gene YJR109C high -> Gene YER175C high  (17.6667%, 82.8125%)
Gene YHR029C high -> Gene YER175C high  (17.6667%, 89.8305%)
Gene YBR147W high -> Gene YMR095C high  (17.6667%, 91.3793%)
Gene YOL058W high -> Gene YMR095C high  (17.6667%, 86.8852%)
Gene YOL058W high -> Gene YHR071W high  (17.6667%, 86.8852%)
Gene YJR025C high -> Gene YMR094W high  (17.6667%, 88.3333%)
Gene YLR267W high -> Gene YMR096W high  (17.6667%, 96.3636%)
Gene YGL117W high,Gene YER175C high -> Gene YMR094W high  (17.6667%, 91.3793%)
Gene YGL117W high,Gene YMR094W high -> Gene YER175C high  (17.6667%, 91.3793%)
Gene YER175C high,Gene YMR094W high -> Gene YGL117W high  (17.6667%, 85.4839%)
Gene YJR109C high -> Gene YGL117W high,Gene YMR095C high  (17.6667%, 82.8125%)
Gene YGL117W high,Gene YMR095C high -> Gene YJR109C high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene YJR109C high -> Gene YMR095C high  (17.6667%, 98.1481%)
Gene YMR095C high,Gene YJR109C high -> Gene YGL117W high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene YHR071W high -> Gene YMR096W high  (17.6667%, 98.1481%)
Gene YGL117W high,Gene YMR096W high -> Gene YHR071W high  (17.6667%, 80.303%)
Gene YHR071W high,Gene YMR096W high -> Gene YGL117W high  (17.6667%, 85.4839%)
Gene YIR034C high -> Gene YGL117W high,Gene YMR096W high  (17.6667%, 85.4839%)
Gene YGL117W high,Gene YIR034C high -> Gene YMR096W high  (17.6667%, 98.1481%)
Gene YGL117W high,Gene YMR096W high -> Gene YIR034C high  (17.6667%, 80.303%)
Gene YIR034C high,Gene YMR096W high -> Gene YGL117W high  (17.6667%, 92.9825%)
Gene YER069W high -> Gene YGL117W high  (17.3333%, 83.871%)
Gene YOL058W high -> Gene YGL117W high  (17.3333%, 85.2459%)
Gene YKL218C high -> Gene YMR094W high  (17.3333%, 88.1356%)
Gene YKL218C high -> Gene YHR029C high  (17.3333%, 88.1356%)
Gene YHR029C high -> Gene YKL218C high  (17.3333%, 88.1356%)
Gene YER069W high -> Gene YMR095C high  (17.3333%, 83.871%)
Gene YJR109C high -> Gene YHR071W high  (17.3333%, 81.25%)
Gene YJR109C high -> Gene YIR034C high  (17.3333%, 81.25%)
Gene YIR034C high -> Gene YJR109C high  (17.3333%, 83.871%)
Gene YJR109C high -> Gene YOL118C high  (17.3333%, 81.25%)
Gene YER069W high -> Gene YOL058W high  (17.3333%, 83.871%)
Gene YOL058W high -> Gene YER069W high  (17.3333%, 85.2459%)
Gene YIR034C high -> Gene YGL117W high,Gene YMR095C high  (17.3333%, 83.871%)
Gene YGL117W high,Gene YMR095C high -> Gene YIR034C high  (17.3333%, 86.6667%)
Gene YGL117W high,Gene YIR034C high -> Gene YMR095C high  (17.3333%, 96.2963%)
Gene YMR095C high,Gene YIR034C high -> Gene YGL117W high  (17.3333%, 91.2281%)
Gene YGL117W high,Gene YMR095C high -> Gene YOL118C high  (17.3333%, 86.6667%)
Gene YGL117W high,Gene YOL118C high -> Gene YMR095C high  (17.3333%, 100%)
Gene YMR095C high,Gene YOL118C high -> Gene YGL117W high  (17.3333%, 86.6667%)
Gene YHR029C high -> Gene YGL117W high,Gene YMR096W high  (17.3333%, 88.1356%)
Gene YGL117W high,Gene YHR029C high -> Gene YMR096W high  (17.3333%, 98.1132%)
Gene YHR029C high,Gene YMR096W high -> Gene YGL117W high  (17.3333%, 89.6552%)
Gene YGL117W high,Gene YOL118C high -> Gene YMR096W high  (17.3333%, 100%)
Gene YMR096W high,Gene YOL118C high -> Gene YGL117W high  (17.3333%, 91.2281%)
Gene YKL218C high -> Gene YMR095C high,Gene YMR094W high  (17.3333%, 88.1356%)
Gene YKL218C high,Gene YMR095C high -> Gene YMR094W high  (17.3333%, 96.2963%)
Gene YKL218C high,Gene YMR094W high -> Gene YMR095C high  (17.3333%, 100%)
Gene YKL218C high -> Gene YMR094W high,Gene YMR096W high  (17.3333%, 88.1356%)
Gene YKL218C high,Gene YMR094W high -> Gene YMR096W high  (17.3333%, 100%)
Gene YKL218C high,Gene YMR096W high -> Gene YMR094W high  (17.3333%, 92.8571%)
Gene YKL218C high -> Gene YGL117W high  (17%, 86.4407%)
Gene YHR018C high -> Gene YMR095C high  (17%, 96.2264%)
Gene YHR018C high -> Gene YMR096W high  (17%, 96.2264%)
Gene YLR267W high -> Gene YMR095C high  (17%, 92.7273%)
Gene YER069W high -> Gene YHR071W high  (17%, 82.2581%)
Gene YIR034C high -> Gene YHR071W high  (17%, 82.2581%)
Gene YMR097C high -> Gene YMR094W high  (17%, 100%)
Gene YMR097C high -> Gene YMR096W high  (17%, 100%)
Gene YIR034C high -> Gene YMR094W high  (17%, 82.2581%)
Gene YOL058W high -> Gene YMR094W high  (17%, 83.6066%)
Gene YIR034C high -> Gene YHR029C high  (17%, 82.2581%)
Gene YHR029C high -> Gene YIR034C high  (17%, 86.4407%)
Gene YIR034C high -> Gene YOL118C high  (17%, 82.2581%)
Gene YJR025C high -> Gene YBR047W high  (17%, 85%)
Gene YGL117W high,Gene YMR095C high -> Gene YBR047W high  (17%, 85%)
Gene YGL117W high,Gene YBR047W high -> Gene YMR095C high  (17%, 94.4444%)
Gene YMR095C high,Gene YBR047W high -> Gene YGL117W high  (17%, 83.6066%)
Gene YHR029C high -> Gene YGL117W high,Gene YMR095C high  (17%, 86.4407%)
Gene YGL117W high,Gene YMR095C high -> Gene YHR029C high  (17%, 85%)
Gene YGL117W high,Gene YHR029C high -> Gene YMR095C high  (17%, 96.2264%)
Gene YMR095C high,Gene YHR029C high -> Gene YGL117W high  (17%, 89.4737%)
Gene YER069W high -> Gene YGL117W high,Gene YMR096W high  (17%, 82.2581%)
Gene YGL117W high,Gene YER069W high -> Gene YMR096W high  (17%, 98.0769%)
Gene YER069W high,Gene YMR096W high -> Gene YGL117W high  (17%, 92.7273%)
Gene YHR029C high -> Gene YGL117W high,Gene YMR094W high  (17%, 86.4407%)
Gene YGL117W high,Gene YMR094W high -> Gene YHR029C high  (17%, 87.931%)
Gene YGL117W high,Gene YHR029C high -> Gene YMR094W high  (17%, 96.2264%)
Gene YMR094W high,Gene YHR029C high -> Gene YGL117W high  (17%, 91.0714%)
Gene YOL058W high -> Gene YGL117W high,Gene YMR096W high  (17%, 83.6066%)
Gene YGL117W high,Gene YOL058W high -> Gene YMR096W high  (17%, 98.0769%)
Gene YMR096W high,Gene YOL058W high -> Gene YGL117W high  (17%, 92.7273%)
Gene YHR018C high -> Gene YMR095C high,Gene YMR096W high  (17%, 96.2264%)
Gene YHR018C high,Gene YMR095C high -> Gene YMR096W high  (17%, 100%)
Gene YHR018C high,Gene YMR096W high -> Gene YMR095C high  (17%, 100%)
Gene YML128C high -> Gene YFL014W high  (16.6667%, 92.5926%)
Gene YHR018C high -> Gene YJR109C high  (16.6667%, 94.3396%)
Gene YKL218C high -> Gene YER175C high  (16.6667%, 84.7458%)
Gene YIL116W high -> Gene YMR096W high  (16.6667%, 90.9091%)
Gene YIR034C high -> Gene YER175C high  (16.6667%, 80.6452%)
Gene YBR256C high -> Gene YMR096W high  (16.6667%, 90.9091%)
Gene YBR256C high -> Gene YOL118C high  (16.6667%, 90.9091%)
Gene YMR097C high -> Gene YMR095C high  (16.6667%, 98.0392%)
Gene YHR029C high -> Gene YJR109C high  (16.6667%, 84.7458%)
Gene YOL058W high -> Gene YJR109C high  (16.6667%, 81.9672%)
Gene YBR147W high -> Gene YMR094W high  (16.6667%, 86.2069%)
Gene YMR062C high -> Gene YMR096W high  (16.6667%, 87.7193%)
Gene YLR267W high -> Gene YMR094W high  (16.6667%, 90.9091%)
Gene YHR029C high -> Gene YBR047W high  (16.6667%, 84.7458%)
Gene YKL218C high -> Gene YGL117W high,Gene YMR096W high  (16.6667%, 84.7458%)
Gene YGL117W high,Gene YKL218C high -> Gene YMR096W high  (16.6667%, 98.0392%)
Gene YKL218C high,Gene YMR096W high -> Gene YGL117W high  (16.6667%, 89.2857%)
Gene YGL117W high,Gene YJR109C high -> Gene YMR094W high  (16.6667%, 92.5926%)
Gene YGL117W high,Gene YMR094W high -> Gene YJR109C high  (16.6667%, 86.2069%)
Gene YJR109C high,Gene YMR094W high -> Gene YGL117W high  (16.6667%, 89.2857%)
Gene YGL117W high,Gene YMR094W high -> Gene YBR047W high  (16.6667%, 86.2069%)
Gene YGL117W high,Gene YBR047W high -> Gene YMR094W high  (16.6667%, 92.5926%)
Gene YMR094W high,Gene YBR047W high -> Gene YGL117W high  (16.6667%, 86.2069%)
Gene YKL218C high -> Gene YMR095C high,Gene YHR029C high  (16.6667%, 84.7458%)
Gene YHR029C high -> Gene YKL218C high,Gene YMR095C high  (16.6667%, 84.7458%)
Gene YKL218C high,Gene YMR095C high -> Gene YHR029C high  (16.6667%, 92.5926%)
Gene YKL218C high,Gene YHR029C high -> Gene YMR095C high  (16.6667%, 96.1538%)
Gene YMR095C high,Gene YHR029C high -> Gene YKL218C high  (16.6667%, 87.7193%)
Gene YJR025C high -> Gene YGL117W high  (16.3333%, 81.6667%)
Gene YKL218C high -> Gene YHR071W high  (16.3333%, 83.0508%)
Gene YIL116W high -> Gene YMR095C high  (16.3333%, 89.0909%)
Gene YIL116W high -> Gene YHR071W high  (16.3333%, 89.0909%)
Gene YIL116W high -> Gene YJR109C high  (16.3333%, 89.0909%)
Gene YIL116W high -> Gene YOL118C high  (16.3333%, 89.0909%)
Gene YOL058W high -> Gene YER175C high  (16.3333%, 80.3279%)
Gene YBR256C high -> Gene YBR047W high  (16.3333%, 89.0909%)
Gene YMR062C high -> Gene YMR095C high  (16.3333%, 85.9649%)
Gene YHR029C high -> Gene YHR071W high  (16.3333%, 83.0508%)
Gene YJR025C high -> Gene YJR109C high  (16.3333%, 81.6667%)
Gene YPL250C high -> Gene YMR096W high  (16.3333%, 92.4528%)
Gene YOL119C high -> Gene YMR096W high  (16.3333%, 94.2308%)
Gene YHR029C high -> Gene YGL117W high,Gene YER175C high  (16.3333%, 83.0508%)
Gene YGL117W high,Gene YER175C high -> Gene YHR029C high  (16.3333%, 84.4828%)
Gene YGL117W high,Gene YHR029C high -> Gene YER175C high  (16.3333%, 92.4528%)
Gene YER175C high,Gene YHR029C high -> Gene YGL117W high  (16.3333%, 92.4528%)
Gene YGL117W high,Gene YMR095C high -> Gene YER069W high  (16.3333%, 81.6667%)
Gene YGL117W high,Gene YER069W high -> Gene YMR095C high  (16.3333%, 94.2308%)
Gene YMR095C high,Gene YER069W high -> Gene YGL117W high  (16.3333%, 94.2308%)
Gene YOL058W high -> Gene YGL117W high,Gene YMR095C high  (16.3333%, 80.3279%)
Gene YGL117W high,Gene YMR095C high -> Gene YOL058W high  (16.3333%, 81.6667%)
Gene YGL117W high,Gene YOL058W high -> Gene YMR095C high  (16.3333%, 94.2308%)
Gene YMR095C high,Gene YOL058W high -> Gene YGL117W high  (16.3333%, 92.4528%)
Gene YGL117W high,Gene YJR109C high -> Gene YIR034C high  (16.3333%, 90.7407%)
Gene YGL117W high,Gene YIR034C high -> Gene YJR109C high  (16.3333%, 90.7407%)
Gene YJR109C high,Gene YIR034C high -> Gene YGL117W high  (16.3333%, 94.2308%)
Gene YGL117W high,Gene YMR094W high -> Gene YOL118C high  (16.3333%, 84.4828%)
Gene YGL117W high,Gene YOL118C high -> Gene YMR094W high  (16.3333%, 94.2308%)
Gene YMR094W high,Gene YOL118C high -> Gene YGL117W high  (16.3333%, 90.7407%)
Gene YGL117W high,Gene YBR047W high -> Gene YOL118C high  (16.3333%, 90.7407%)
Gene YGL117W high,Gene YOL118C high -> Gene YBR047W high  (16.3333%, 94.2308%)
Gene YBR047W high,Gene YOL118C high -> Gene YGL117W high  (16.3333%, 96.0784%)
Gene YJR025C high -> Gene YGL117W high,Gene YMR096W high  (16.3333%, 81.6667%)
Gene YGL117W high,Gene YJR025C high -> Gene YMR096W high  (16.3333%, 100%)
Gene YJR025C high,Gene YMR096W high -> Gene YGL117W high  (16.3333%, 89.0909%)
Gene YHR018C high -> Gene YMR095C high,Gene YJR109C high  (16.3333%, 92.4528%)
Gene YHR018C high,Gene YMR095C high -> Gene YJR109C high  (16.3333%, 96.0784%)
Gene YHR018C high,Gene YJR109C high -> Gene YMR095C high  (16.3333%, 98%)
Gene YMR095C high,Gene YJR109C high -> Gene YHR018C high  (16.3333%, 81.6667%)
Gene YHR018C high -> Gene YJR109C high,Gene YMR096W high  (16.3333%, 92.4528%)
Gene YHR018C high,Gene YJR109C high -> Gene YMR096W high  (16.3333%, 98%)
Gene YHR018C high,Gene YMR096W high -> Gene YJR109C high  (16.3333%, 96.0784%)
Gene YJR109C high,Gene YMR096W high -> Gene YHR018C high  (16.3333%, 80.3279%)
Gene YKL218C high -> Gene YER175C high,Gene YMR096W high  (16.3333%, 83.0508%)
Gene YKL218C high,Gene YER175C high -> Gene YMR096W high  (16.3333%, 98%)
Gene YKL218C high,Gene YMR096W high -> Gene YER175C high  (16.3333%, 87.5%)
Gene YKL218C high -> Gene YMR094W high,Gene YHR029C high  (16.3333%, 83.0508%)
Gene YHR029C high -> Gene YKL218C high,Gene YMR094W high  (16.3333%, 83.0508%)
Gene YKL218C high,Gene YMR094W high -> Gene YHR029C high  (16.3333%, 94.2308%)
Gene YKL218C high,Gene YHR029C high -> Gene YMR094W high  (16.3333%, 94.2308%)
Gene YMR094W high,Gene YHR029C high -> Gene YKL218C high  (16.3333%, 87.5%)
Gene YHR018C high -> Gene YGL117W high  (16%, 90.566%)
Gene YBR147W high -> Gene YGL117W high  (16%, 82.7586%)
Gene YHR018C high -> Gene YHR071W high  (16%, 90.566%)
Gene YHR018C high -> Gene YMR094W high  (16%, 90.566%)
Gene YHR018C high -> Gene YIR034C high  (16%, 90.566%)
Gene YKL218C high -> Gene YIR034C high  (16%, 81.3559%)
Gene YPL250C high -> Gene YER175C high  (16%, 90.566%)
Gene YML116W high -> Gene YMR095C high  (16%, 88.8889%)
Gene YHR029C high -> Gene YJR025C high  (16%, 81.3559%)
Gene YHR029C high -> Gene YOL118C high  (16%, 81.3559%)
Gene YHR029C high -> Gene YOL058W high  (16%, 81.3559%)
Gene YML116W high -> Gene YMR096W high  (16%, 88.8889%)
Gene YHR018C high -> Gene YGL117W high,Gene YMR095C high  (16%, 90.566%)
Gene YGL117W high,Gene YHR018C high -> Gene YMR095C high  (16%, 100%)
Gene YHR018C high,Gene YMR095C high -> Gene YGL117W high  (16%, 94.1176%)
Gene YHR018C high -> Gene YGL117W high,Gene YMR096W high  (16%, 90.566%)
Gene YGL117W high,Gene YHR018C high -> Gene YMR096W high  (16%, 100%)
Gene YHR018C high,Gene YMR096W high -> Gene YGL117W high  (16%, 94.1176%)
Gene YKL218C high -> Gene YGL117W high,Gene YMR095C high  (16%, 81.3559%)
Gene YGL117W high,Gene YKL218C high -> Gene YMR095C high  (16%, 94.1176%)
Gene YKL218C high,Gene YMR095C high -> Gene YGL117W high  (16%, 88.8889%)
Gene YGL117W high,Gene YER175C high -> Gene YJR109C high  (16%, 82.7586%)
Gene YGL117W high,Gene YJR109C high -> Gene YER175C high  (16%, 88.8889%)
Gene YER175C high,Gene YJR109C high -> Gene YGL117W high  (16%, 90.566%)
Gene YGL117W high,Gene YER175C high -> Gene YIR034C high  (16%, 82.7586%)
Gene YGL117W high,Gene YIR034C high -> Gene YER175C high  (16%, 88.8889%)
Gene YER175C high,Gene YIR034C high -> Gene YGL117W high  (16%, 96%)
Gene YGL117W high,Gene YER175C high -> Gene YBR047W high  (16%, 82.7586%)
Gene YGL117W high,Gene YBR047W high -> Gene YER175C high  (16%, 88.8889%)
Gene YER175C high,Gene YBR047W high -> Gene YGL117W high  (16%, 87.2727%)
Gene YGL117W high,Gene YHR071W high -> Gene YMR095C high  (16%, 88.8889%)
Gene YMR095C high,Gene YHR071W high -> Gene YGL117W high  (16%, 82.7586%)
Gene YGL117W high,Gene YHR071W high -> Gene YOL058W high  (16%, 88.8889%)
Gene YGL117W high,Gene YOL058W high -> Gene YHR071W high  (16%, 92.3077%)
Gene YHR071W high,Gene YOL058W high -> Gene YGL117W high  (16%, 90.566%)
Gene YGL117W high,Gene YER069W high -> Gene YOL058W high  (16%, 92.3077%)
Gene YGL117W high,Gene YOL058W high -> Gene YER069W high  (16%, 92.3077%)
Gene YER069W high,Gene YOL058W high -> Gene YGL117W high  (16%, 92.3077%)
Gene YGL117W high,Gene YMR094W high -> Gene YIR034C high  (16%, 82.7586%)
Gene YGL117W high,Gene YIR034C high -> Gene YMR094W high  (16%, 88.8889%)
Gene YMR094W high,Gene YIR034C high -> Gene YGL117W high  (16%, 94.1176%)
Gene YHR018C high -> Gene YMR095C high,Gene YMR094W high  (16%, 90.566%)
Gene YHR018C high,Gene YMR095C high -> Gene YMR094W high  (16%, 94.1176%)
Gene YHR018C high,Gene YMR094W high -> Gene YMR095C high  (16%, 100%)
Gene YHR018C high -> Gene YMR094W high,Gene YMR096W high  (16%, 90.566%)
Gene YHR018C high,Gene YMR094W high -> Gene YMR096W high  (16%, 100%)
Gene YHR018C high,Gene YMR096W high -> Gene YMR094W high  (16%, 94.1176%)
Gene YGR043C high -> Gene YFL014W high  (15.6667%, 81.0345%)
Gene YIL116W high -> Gene YGL117W high  (15.6667%, 85.4545%)
Gene YBR256C high -> Gene YGL117W high  (15.6667%, 85.4545%)
Gene YMR097C high -> Gene YGL117W high  (15.6667%, 92.1569%)
Gene YHR018C high -> Gene YOL058W high  (15.6667%, 88.6792%)
Gene YIL116W high -> Gene YBR256C high  (15.6667%, 85.4545%)
Gene YBR256C high -> Gene YIL116W high  (15.6667%, 85.4545%)
Gene YIL116W high -> Gene YMR094W high  (15.6667%, 85.4545%)
Gene YIL116W high -> Gene YIR034C high  (15.6667%, 85.4545%)
Gene YBR147W high -> Gene YER175C high  (15.6667%, 81.0345%)
Gene YMR097C high -> Gene YER175C high  (15.6667%, 92.1569%)
Gene YBR256C high -> Gene YMR095C high  (15.6667%, 85.4545%)
Gene YBR256C high -> Gene YMR094W high  (15.6667%, 85.4545%)
Gene YOL119C high -> Gene YMR095C high  (15.6667%, 90.3846%)
Gene YMR062C high -> Gene YHR071W high  (15.6667%, 82.4561%)
Gene YBR147W high -> Gene YBR047W high  (15.6667%, 81.0345%)
Gene YMR062C high -> Gene YIR034C high  (15.6667%, 82.4561%)
Gene YML116W high -> Gene YOL118C high  (15.6667%, 87.037%)
Gene YNL036W high,Gene YMR095C high -> Gene YMR096W high  (15.6667%, 97.9167%)
Gene YNL036W high,Gene YMR096W high -> Gene YMR095C high  (15.6667%, 87.037%)
Gene YHR018C high -> Gene YGL117W high,Gene YJR109C high  (15.6667%, 88.6792%)
Gene YGL117W high,Gene YHR018C high -> Gene YJR109C high  (15.6667%, 97.9167%)
Gene YGL117W high,Gene YJR109C high -> Gene YHR018C high  (15.6667%, 87.037%)
Gene YHR018C high,Gene YJR109C high -> Gene YGL117W high  (15.6667%, 94%)
Gene YGL117W high,Gene YKL218C high -> Gene YER175C high  (15.6667%, 92.1569%)
Gene YGL117W high,Gene YER175C high -> Gene YKL218C high  (15.6667%, 81.0345%)
Gene YKL218C high,Gene YER175C high -> Gene YGL117W high  (15.6667%, 94%)
Gene YGL117W high,Gene YKL218C high -> Gene YMR094W high  (15.6667%, 92.1569%)
Gene YGL117W high,Gene YMR094W high -> Gene YKL218C high  (15.6667%, 81.0345%)
Gene YKL218C high,Gene YMR094W high -> Gene YGL117W high  (15.6667%, 90.3846%)
Gene YGL117W high,Gene YKL218C high -> Gene YHR029C high  (15.6667%, 92.1569%)
Gene YGL117W high,Gene YHR029C high -> Gene YKL218C high  (15.6667%, 88.6792%)
Gene YKL218C high,Gene YHR029C high -> Gene YGL117W high  (15.6667%, 90.3846%)
Gene YIL116W high -> Gene YGL117W high,Gene YMR096W high  (15.6667%, 85.4545%)
Gene YGL117W high,Gene YIL116W high -> Gene YMR096W high  (15.6667%, 100%)
Gene YIL116W high,Gene YMR096W high -> Gene YGL117W high  (15.6667%, 94%)
Gene YGL117W high,Gene YER175C high -> Gene YHR071W high  (15.6667%, 81.0345%)
Gene YGL117W high,Gene YHR071W high -> Gene YER175C high  (15.6667%, 87.037%)
Gene YER175C high,Gene YHR071W high -> Gene YGL117W high  (15.6667%, 88.6792%)
Gene YBR256C high -> Gene YGL117W high,Gene YMR096W high  (15.6667%, 85.4545%)
Gene YGL117W high,Gene YBR256C high -> Gene YMR096W high  (15.6667%, 100%)
Gene YBR256C high,Gene YMR096W high -> Gene YGL117W high  (15.6667%, 94%)
Gene YGL117W high,Gene YJR025C high -> Gene YMR095C high  (15.6667%, 95.9184%)
Gene YMR095C high,Gene YJR025C high -> Gene YGL117W high  (15.6667%, 87.037%)
Gene YGL117W high,Gene YHR071W high -> Gene YMR094W high  (15.6667%, 87.037%)
Gene YGL117W high,Gene YMR094W high -> Gene YHR071W high  (15.6667%, 81.0345%)
Gene YHR071W high,Gene YMR094W high -> Gene YGL117W high  (15.6667%, 82.4561%)
Gene YGL117W high,Gene YHR071W high -> Gene YIR034C high  (15.6667%, 87.037%)
Gene YGL117W high,Gene YIR034C high -> Gene YHR071W high  (15.6667%, 87.037%)
Gene YHR071W high,Gene YIR034C high -> Gene YGL117W high  (15.6667%, 92.1569%)
Gene YGL117W high,Gene YJR109C high -> Gene YBR047W high  (15.6667%, 87.037%)
Gene YGL117W high,Gene YBR047W high -> Gene YJR109C high  (15.6667%, 87.037%)
Gene YJR109C high,Gene YBR047W high -> Gene YGL117W high  (15.6667%, 94%)
Gene YGL117W high,Gene YJR109C high -> Gene YHR029C high  (15.6667%, 87.037%)
Gene YGL117W high,Gene YHR029C high -> Gene YJR109C high  (15.6667%, 88.6792%)
Gene YJR109C high,Gene YHR029C high -> Gene YGL117W high  (15.6667%, 94%)
Gene YGL117W high,Gene YJR109C high -> Gene YOL118C high  (15.6667%, 87.037%)
Gene YGL117W high,Gene YOL118C high -> Gene YJR109C high  (15.6667%, 90.3846%)
Gene YJR109C high,Gene YOL118C high -> Gene YGL117W high  (15.6667%, 90.3846%)
